Player,PlayerName1,PlayerName2,PlayerName3,Rating,Salary
Stuani,Stuani,,,7.03,
Suárez,Suárez,,,6.89,327700
Theo Hernández,Theo,Hernández,,6.83,
Thibaut Courtois,Thibaut,Courtois,,6.71,
Thomas Lemar,Thomas,Lemar,,6.87,
Thomas Partey,Thomas,Partey,,6.93,
Toko Ekambi,Toko,Ekambi,,6.83,
Tomás Pina,Tomás,Pina,,6.77,
Tomás Vaclik,Tomás,Vaclik,,6.58,
Toni Kroos,Toni,Kroos,,7.09,
Toni Villa,Toni,Villa,,6.8,
Toño,Toño,,,6.68,
Unai Bustinza,Unai,Bustinza,,6.74,
Vicente Iborra,Vicente,Iborra,,7.04,
Víctor Laguardia,Víctor,Laguardia,,6.76,
Víctor Ruiz,Víctor,Ruiz,,6.67,
Víctor Sánchez,Víctor,Sánchez,,6.46,
Vitolo,Vitolo,,,6.55,
Vitorino Antunes,Vitorino,Antunes,,6.89,
William Carvalho,William,Carvalho,,6.79,
Williams,Williams,,,7,73000
Willian J.,Willian,J.,,6.74,58000
Xabier Etxeita,Xabier,Etxeita,,6.69,
Ximo Navarro,Ximo,Navarro,,6.88,
Yassine Bounou,Yassine,Bounou,,6.73,
Yeray Álvarez,Yeray,Álvarez,,6.98,
Youssef En-Nesyri,Youssef,En-Nesyri,,6.91,
Yuri,Yuri,,,6.87,
Zouhair Feddal,Zouhair,Feddal,,7.04,
